Update  465/2441 | Step  952,320 | Episodes 11329 | FPS   2334 | Mean reward     27.3 | LR 2.43e-04 | Time    408s
Update  470/2441 | Step  962,560 | Episodes 11371 | FPS   2334 | Mean reward     22.5 | LR 2.42e-04 | Time    412s
Update  475/2441 | Step  972,800 | Episodes 11408 | FPS   2334 | Mean reward     27.0 | LR 2.42e-04 | Time    417s
Update  480/2441 | Step  983,040 | Episodes 11436 | FPS   2334 | Mean reward     15.3 | LR 2.41e-04 | Time    421s
Update  485/2441 | Step  993,280 | Episodes 11462 | FPS   2334 | Mean reward     28.7 | LR 2.40e-04 | Time    426s
Update  490/2441 | Step 1,003,520 | Episodes 11489 | FPS   2334 | Mean reward     37.5 | LR 2.40e-04 | Time    430s
Update  495/2441 | Step 1,013,760 | Episodes 11517 | FPS   2334 | Mean reward     37.4 | LR 2.39e-04 | Time    434s
Update  500/2441 | Step 1,024,000 | Episodes 11545 | FPS   2334 | Mean reward     17.8 | LR 2.39e-04 | Time    439s
   ->  Model saved to checkpoints/ant_ppo_1024000.pt
Update  505/2441 | Step 1,034,240 | Episodes 11587 | FPS   2334 | Mean reward     44.3 | LR 2.38e-04 | Time    443s
Update  510/2441 | Step 1,044,480 | Episodes 11636 | FPS   2334 | Mean reward     33.7 | LR 2.37e-04 | Time    447s
Update  515/2441 | Step 1,054,720 | Episodes 11681 | FPS   2334 | Mean reward     24.4 | LR 2.37e-04 | Time    452s
Update  520/2441 | Step 1,064,960 | Episodes 11721 | FPS   2335 | Mean reward     13.6 | LR 2.36e-04 | Time    456s
Update  525/2441 | Step 1,075,200 | Episodes 11780 | FPS   2335 | Mean reward     16.8 | LR 2.35e-04 | Time    460s
Update  530/2441 | Step 1,085,440 | Episodes 11835 | FPS   2335 | Mean reward     36.9 | LR 2.35e-04 | Time    465s
Update  535/2441 | Step 1,095,680 | Episodes 11881 | FPS   2335 | Mean reward     23.7 | LR 2.34e-04 | Time    469s
Update  540/2441 | Step 1,105,920 | Episodes 11935 | FPS   2336 | Mean reward     28.0 | LR 2.34e-04 | Time    473s
Update  545/2441 | Step 1,116,160 | Episodes 11971 | FPS   2336 | Mean reward     35.6 | LR 2.33e-04 | Time    478s
Update  550/2441 | Step 1,126,400 | Episodes 12009 | FPS   2336 | Mean reward     25.8 | LR 2.32e-04 | Time    482s
   ->  Model saved to checkpoints/ant_ppo_1126400.pt
Update  555/2441 | Step 1,136,640 | Episodes 12041 | FPS   2335 | Mean reward     45.2 | LR 2.32e-04 | Time    487s
Update  560/2441 | Step 1,146,880 | Episodes 12101 | FPS   2335 | Mean reward     21.4 | LR 2.31e-04 | Time    491s
Update  565/2441 | Step 1,157,120 | Episodes 12151 | FPS   2335 | Mean reward     12.5 | LR 2.31e-04 | Time    496s
Update  570/2441 | Step 1,167,360 | Episodes 12192 | FPS   2335 | Mean reward     36.2 | LR 2.30e-04 | Time    500s
Update  575/2441 | Step 1,177,600 | Episodes 12226 | FPS   2335 | Mean reward      2.4 | LR 2.29e-04 | Time    504s
Update  580/2441 | Step 1,187,840 | Episodes 12273 | FPS   2335 | Mean reward     32.9 | LR 2.29e-04 | Time    509s
